Número de secuencia;Tipo de distinción;Órgano competente;Apellidos y nombre / Institución;Profesión / Actividad;Fecha de concesión;Fecha de entrega
1034;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carmona y Romay, Adriano G.;;27/05/1955;13/06/1955
1035;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Torres, Maximino;;27/05/1955;13/06/1955
1036;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Soto Sagarra, Emilio;;27/05/1955;13/06/1955
1037;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Morelló González, Rodolfo S.;;27/05/1955;13/06/1955
1038;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ripoll, Carlos;;27/05/1955;13/06/1955
1039;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Paz, René;;27/05/1955;13/06/1955
1040;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ferrer Gutiérrez, Virgilio;;27/05/1955;13/06/1955
1041;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gama Malcher, Celso;;27/05/1955;13/06/1955
1042;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Barroso, Roberto;;27/05/1955;13/06/1955
1043;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Mendoza de Barros, Antonio;;27/05/1955;13/06/1955
1044;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Morán, Carlos;;27/05/1955;13/06/1955
1045;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bens Arrarte, José María;;27/05/1955;13/06/1955
1046;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Lazo, Raquel;;27/05/1955;13/06/1955
1047;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Delpiano, Juan Enrique ;;27/05/1955;13/06/1955
1048;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Souza Coelho, Joao;;27/05/1955;13/06/1955
1049;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de la Torre Salinas, Teresa;;27/05/1955;13/06/1955
1050;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente de la Municipalidad de Sao Paulo (Brasil);;27/05/1955;13/06/1955
1051;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Holmes, Maurice G.;;27/05/1955;13/06/1955
1052;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Torruella, Virginia;;27/05/1955;13/06/1955
1053;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cunha Bueno, Antonio Sylvio;;27/05/1955;13/06/1955
1054;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bemúdez, Mario;;27/05/1955;13/06/1955
1055;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Morales Ávila, Carlos;;27/05/1955;13/06/1955
1056;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Morales Díaz, Antonio;;27/05/1955;13/06/1955
1057;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Emerenciano, Jordao;;27/05/1955;13/06/1955
1058;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de La Antigua (Guatemala);;27/05/1955;13/06/1955
1059;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Arauz Aguilar, Guillermo;;27/05/1955;13/06/1955
1060;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Arce Valladares, Manuel José;;27/05/1955;13/06/1955
1061;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Ibagué (Colombia);;27/05/1955;13/06/1955
1062;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cotrim Neto, Alberto;;27/05/1955;13/06/1955
1063;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Castro, Gentil;;27/05/1955;13/06/1955
1064;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Arnoud, José ;;27/05/1955;13/06/1955
1065;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Dávila, Newton;;27/05/1955;13/06/1955
1066;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Camacho Labbé de Barcelona, Miguel;;27/05/1955;13/06/1955
1067;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ibarra Gutiérrez, Juan;;27/05/1955;13/06/1955
1068;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Tejada Wyld, Carlos Enrique;;27/05/1955;13/06/1955
1069;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ceppi Mayol de Lupe, Sergio;;27/05/1955;13/06/1955
1070;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Leagos Bulnes, Francisco;;27/05/1955;13/06/1955
1071;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Valparaíso (Chile);;27/05/1955;13/06/1955
1072;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Vega Bolaños, Andrés;;27/05/1955;13/06/1955
1073;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Galindo, Pedro;;27/05/1955;13/06/1955
1074;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alemán, Rodolfo A.;;27/05/1955;13/06/1955
1075;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Altamiranda, Pedro;;27/05/1955;13/06/1955
1076;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Quintero, Cesar A.;;27/05/1955;13/06/1955
1077;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Oliveira, Adolfo;;27/05/1955;13/06/1955
1078;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Jacinto Fuentes, Briseira;;27/05/1955;13/06/1955
1079;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martins, Nelson;;27/05/1955;13/06/1955
1080;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Colón (Panamá);;27/05/1955;13/06/1955
1081;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Fausto Farias, Sebastián;;27/05/1955;13/06/1955
1082;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gonzaga de Gama Filho, Luiz;;27/05/1955;13/06/1955
1083;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Barragán, Regino;;27/05/1955;13/06/1955
1084;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente de la Municipalidad de Recife (Brasil);;27/05/1955;13/06/1955
1085;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bromley, Juan;;27/05/1955;13/06/1955
1086;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carvalho, Edgar;;27/05/1955;13/06/1955
1087;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Vilas Boas, Augusto L.;;27/05/1955;13/06/1955
1088;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Espá Cuenca, Fernando;;27/05/1955;13/06/1955
1089;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pinheiro Viveiros, Paulo;;27/05/1955;13/06/1955
1090;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente del Municipio de Arecibo (Puerto Rico);;27/05/1955;13/06/1955
1091;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Walcarce, Helio;;27/05/1955;13/06/1955
1092;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pecanha, Celso;;27/05/1955;13/06/1955
1093;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Torres, Vasconcelos;;27/05/1955;13/06/1955
1094;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Machado dos Reis, Joao;;27/05/1955;13/06/1955
1095;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bittencourt, Jaime;;27/05/1955;13/06/1955
1096;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Oliveira, Antunes;;27/05/1955;13/06/1955
1097;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Delorenzo Neto, Antonio;;27/05/1955;13/06/1955
1098;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Guerrero Navarrete, Guillermo;;27/05/1955;13/06/1955
1099;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cabezas Parés, Rubén;;27/05/1955;13/06/1955
1100;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rodríguez, Geraldo;;27/05/1955;13/06/1955
1101;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Limache (Chile);;27/05/1955;13/06/1955
1102;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Solís Parodi, Manuel ;;27/05/1955;13/06/1955
1103;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Rengo (Chile);;27/05/1955;13/06/1955
1104;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gómez, Oswaldo Luis;;27/05/1955;13/06/1955
1105;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Riascos, Alfredo;;27/05/1955;13/06/1955
1106;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Arellanos Rivas, José;;27/05/1955;13/06/1955
1107;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Botero Restrepo, Jorge;;27/05/1955;13/06/1955
1108;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rojas Villoria, Guillermo;;27/05/1955;13/06/1955
1109;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Neiva (Colombia);;27/05/1955;13/06/1955
1110;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Balneario de Cartagena (;;27/05/1955;13/06/1955
1111;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Polania, Héctor;;27/05/1955;13/06/1955
1112;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Aguayo Blaitt, Emilio ;;27/05/1955;13/06/1955
1113;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rincón Marrero, Josefina;;27/05/1955;13/06/1955
1114;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alcalde Presidente del Municipio de Toa Alta (Puerto Rico);;27/05/1955;13/06/1955
1115;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de la Torre Muñiz, José;;27/05/1955;13/06/1955
1116;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Oliver, José;;27/05/1955;13/06/1955
1117;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Salazar, Francisco;;27/05/1955;13/06/1955
1118;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Presidente de la Municipalidad de Maldonado (Uruguay);;27/05/1955;13/06/1955
1119;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Embajador del Uruguay;;27/05/1955;13/06/1955
1120;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Valdivieso, Martín;;27/05/1955;13/06/1955
1121;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Figueredo de Baiz, Dolores;;27/05/1955;13/06/1955
1122;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sarquís, Enrique;;27/05/1955;13/06/1955
1123;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hernández Caballero, Chuita;;27/05/1955;13/06/1955
1124;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Comisión Organizadora Congreso Iberoamericano de Municipios;;27/06/1955;
1125;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Illana Franco, Fidel;Funcionario;25/11/1955;
1126;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Menéndez González, Julián;Funcionario;16/12/1955;
1127;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Casero Sanz, Antonio;Funcionario;16/12/1955;
1128;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Benedito Vives, Rafael;Funcionario;16/12/1955;
1129;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Colás Hontán, José Luis;Funcionario;29/02/1956;
1130;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Kraemer, Peter;;18/05/1956;
1131;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Stelling, Heinrich;;18/05/1956;
1132;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rodríguez Soler, José;Funcionario;18/05/1956;
1133;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Seseña Palacios, Tomás;;18/05/1956;
1134;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Guerrero Medalla, Julián;Funcionario;18/05/1956;
1135;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pichon, M. Charles;;30/05/1956;
1136;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Castille, M. Robert;;30/05/1956;
1137;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ribera, M. Marcel;;30/05/1956;
1138;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Peretti,  François;Doctor;30/05/1956;
1139;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Villanueva, Domingo;;27/06/1956;
1140;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Carracedo Sánchez, Pedro;Funcionario - Bombero;14/07/1956;
1141;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Díaz Julián, Florencio;Funcionario - Bombero;14/07/1956;
1142;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martínez González, Juan Manuel;Funcionario - Bombero;14/07/1956;
1143;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Viadero Losada, Darío;Funcionario - Bombero;14/07/1956;
1144;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Herrera Franco, Alfonso;;28/09/1956;
1145;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Perellman, Françoise;;19/10/1956;
1146;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Rigaud, M. Roger;;19/10/1956;
1147;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ovilo Llopis, Enrique;Funcionario - Arquitecto municipal;09/11/1956;
1148;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Muñoz Yusta, Rafael;Funcionario;09/11/1956;
1149;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);López de la Calle, Juan;Funcionario;09/11/1956;
1150;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Tato Amat, Egmidio;Funcionario;09/11/1956;
1151;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);de Burgos Rizzoli, Javier;Autor teatral;09/11/1956;
1152;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Fabre, Emile;;06/02/1957;
1153;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Jouffray, Paul;;27/02/1957;
1154;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Bonhomme, Lucien;;27/02/1957;
1155;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Lillo Rodelgo, Eugenio José;;12/04/1957;
1156;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Lecoufle, Pierre R.;;18/05/1957;
1157;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Veysset, Emile;;18/05/1957;
1158;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Champetier de Ribes, Edmond;;18/05/1957;
1159;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gómez Ortega, Rafael;torero;30/10/1957;
1160;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Molinuevo Fernández, Ángel;;20/06/1958;
1161;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sainz Miguel, Baltasar;;30/07/1958;
1162;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Taittinger, Pierre Christian;;17/04/1959;
1163;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Minot, Paul;;17/04/1959;
1164;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Calderón Millán, Julian ;;17/04/1959;
1165;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gutiérrez ballesteros, José María;;29/04/1959;
1166;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortega Pérez, Victor Manuel;funcionario;26/06/1959;
1167;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Arámbarri Gárate, Jesús;funcionario;26/06/1959;
1168;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Echevarría López, Victorino;funcionario;26/06/1959;
1169;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Moreno Torroba, Federico;;26/06/1959;
1170;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sanz Egaña, Cesáreo;;26/06/1959;
1171;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);del Corral Saiz, Tomás;;26/06/1959;
1172;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García López, Rodrigo;;26/06/1959;
1173;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pascual Gil, Román;Funcionario;30/12/1959;
1174;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Garrido Casanova, José;Funcionario;30/12/1959;
1175;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Escalada Sánchez, Julián;Funcionario;30/12/1959;
1176;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Blanco Soler, Carlos;Funcionario;30/12/1959;
1177;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Soler Garay, Santiago;Funcionario-Arquitecto;30/12/1959;
1178;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Hidalgo Massó, Aurelio;Funcionario;30/12/1959;
1179;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pérez de Petinto Bartomeu, Manuel;Funcionario;30/12/1959;
1180;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Toledo Manzano, Julio;Funcionario - médico;30/12/1959;
1181;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García de Osma, Francisco;Funcionario;30/12/1959;
1182;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ramón Otero, José;Funcionario;30/12/1959;
1183;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gómez Iglesias, Agustín;Funcionario;30/12/1959;
1184;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Fraile Garrido, Ángel;Funcionario;30/12/1959;
1185;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Valdés Montalbo, Ernesto;Funcionario;30/12/1959;
1186;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pavía Castilla-Portugal, Rafael;Funcionario;30/12/1959;
1187;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gutiérrez Ballesteros, Antonio;Funcionario;30/12/1959;
1188;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Avia García, Francisco;Funcionario;30/12/1959;
1189;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Velasco Pérez, Víctor;Funcionario;30/12/1959;
1190;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Cano Rodríguez, José María;Funcionario;30/12/1959;
1191;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martínez Higuera, Rafael;Funcionario;30/12/1959;
1192;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martinrey del Yerro, Luis;Funcionario;30/12/1959;
1193;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);González Fernández, Alejandro;Funcionario;30/12/1959;
1194;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Velasco Hornero, Francisco;Funcionario;30/12/1959;
1195;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Moreno Salgado, Francisco;Funcionario;30/12/1959;
1196;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gutiérrez Pajares, José María;Funcionario;30/12/1959;
1197;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);González Charbonnier, Julio;Funcionario;30/12/1959;
1198;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Moreno López, Francisco;Funcionario;30/12/1959;
1199;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Fontcuberta Bayod, Ramón;Funcionario;30/12/1959;
1200;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Alonso Misol, Ricardo;;30/12/1959;
1201;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Briñis García Suelto, Carlos;Funcionario;30/12/1959;
1202;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ortiz Ferré, Ramón;Funcionario;30/12/1959;
1203;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Fernández de Córdoba, Fernanda;Funcionario;30/12/1959;
1204;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Ganto Rancaño, Eduardo;Funcionario;30/12/1959;
1205;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Martínez López, Jesús;Funcionario;24/02/1960;
1206;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García Bravo, Luis;Funcionario;24/02/1960;
1207;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pastor Mateos, Enrique;Funcionario;24/02/1960;
1208;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García-Loigorri y Martinez de Irujo, Mariano;Funcionario;24/02/1960;
1209;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Lasala Gravisaco, Eusebio;Funcionario;24/02/1960;
1210;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Granados Gómez, Augusto;Funcionario - médico;24/02/1960;
1211;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Pradillo de Osma, Juan;Funcionario;24/02/1960;
1212;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Novillo López, Ángel;Funcionario;24/02/1960;
1213;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gil Justo, Rafael;Funcionario;24/02/1960;
1214;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Herrero Palacios, Manuel;Funcionario - Arquitecto;24/02/1960;
1215;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Paz Casañé, José María;Funcionario;24/02/1960;
1216;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Silvela Montero de Espinosa, Francisco;Funcionario;24/02/1960;
1217;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Lasala Gravisaco, Alberto;Funcionario;24/02/1960;
1218;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);González Echenique, Antonio;Funcionario;24/02/1960;
1219;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García Menéndez, Alfredo;Funcionario;24/02/1960;
1220;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);García Herrero, Julio;Funcionario;24/02/1960;
1221;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Esteve Monasterio, Eduardo;Funcionario - Arquitecto;24/02/1960;
1222;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Palacio Castiella, Ignacio;Funcionario;24/02/1960;
1223;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Buñuel Tallada, Ramón;Funcionario;24/02/1960;
1224;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Jiménez Font, Antonio;Funcionario;24/02/1960;
1225;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Sánchez Sánchez, Alonso;Funcionario;24/02/1960;
1226;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Gutiérrez Gascón, Jesús;Funcionario;24/02/1960;
1227;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Abellán García-Polo, Juan;Funcionario;24/02/1960;
1228;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Roger Roche, M.;;27/04/1960;
1229;Medalla de Madrid Plata (1942-1961);Pleno (mayoría simple);Jugadores y Entrenador del Real Madrid;;27/05/1960;
1230;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Garrido-Lestache Díaz, Juan;Médico;28/04/1961;
1231;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Santas Elordy, Jorge ;;16/10/1961;16/10/1961
1232;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Nakamura, Yoshiro;;16/10/1961;16/10/1961
1233;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Secretario de Presidencia de Guatemala;;16/10/1961;16/10/1961
1234;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Martins Gomes, Henrique ;;16/10/1961;16/10/1961
1235;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Da Costa Ribeiro Rodrigues,  Vicente ;;16/10/1961;16/10/1961
1236;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Taillens, Pierre;;01/06/1962;
1237;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Guns, Paul;;01/06/1962;
1238;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Clavet, Jean;;01/06/1962;
1239;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Ardouin, Paul;;01/06/1962;
1240;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Arslan, Michaele;;01/06/1962;
1241;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Carco, Paolo;;01/06/1962;
1242;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Moyano Araújo, Francisco;Doctor;27/07/1962;
1243;Medalla de Madrid Plata (1961);Pleno (mayoría simple);D´Escrangnolle Filho, Luis Affonso;Arquitecto;31/10/1962;
1244;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Rambla Domingo, Trinidad;Monja;30/01/1963;
1245;Medalla de Madrid Plata (1961);Pleno (mayoría simple);de Entrambasaguas, Joaquín;Escritor y catedrático;27/02/1963;
1246;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Moreno Serna, Hermenegildo;;26/04/1963;
1247;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Ducatel, Luis;;29/05/1963;
1248;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Salvinien, Jacques;;29/05/1963;
1249;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Moreau, Luis;;29/05/1963;
1250;Medalla de Madrid Plata (1961);Pleno (mayoría simple);De los Santos Jalón, Lamberto;;30/10/1963;
1251;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Pastor Bardavío, Nieves;;30/10/1963;
1252;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Casa de Madrid en Barcelona;;28/04/1964;
1253;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Wetto del Nogal, Mª Yolanda ;;13/05/1964;
1254;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Dubost, Roger;;29/05/1964;
1255;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Cubiles Ramon, José;;29/05/1964;
1256;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Hermandad del Frente Nacional en zona no liberada;;26/06/1964;
1257;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Cobb, Lloyd S.;;29/01/1965;
1258;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Stone, Edgar;;29/01/1965;
1259;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Espinós Alonso, José;Escultor;29/11/1967;
1260;Medalla de Madrid Plata (1961);Pleno (mayoría simple);López Sanz, Cándido;Cocinero;29/03/1968;
